start_time,away_team,away_team_score,home_team,home_team_score,home_team_win?
2013-12-04 01:30:00+00:00,CHARLOTTE BOBCATS,82,DALLAS MAVERICKS,89,True
2013-12-04 03:00:00+00:00,OKLAHOMA CITY THUNDER,97,SACRAMENTO KINGS,95,False
2013-12-04 03:30:00+00:00,TORONTO RAPTORS,103,GOLDEN STATE WARRIORS,112,True
2013-12-05 00:00:00+00:00,DENVER NUGGETS,88,CLEVELAND CAVALIERS,98,True
2013-12-05 00:30:00+00:00,LOS ANGELES CLIPPERS,97,ATLANTA HAWKS,107,True
2013-12-05 01:00:00+00:00,PHOENIX SUNS,97,HOUSTON ROCKETS,88,False
2013-12-05 01:00:00+00:00,DETROIT PISTONS,105,MILWAUKEE BUCKS,98,False
2013-12-05 01:00:00+00:00,DALLAS MAVERICKS,100,NEW ORLEANS PELICANS,97,False
2013-12-05 02:00:00+00:00,INDIANA PACERS,95,UTAH JAZZ,86,False
2013-12-05 03:00:00+00:00,OKLAHOMA CITY THUNDER,104,PORTLAND TRAIL BLAZERS,111,True
2013-12-06 00:00:00+00:00,NEW YORK KNICKS,113,BROOKLYN NETS,83,False
2013-12-06 01:00:00+00:00,LOS ANGELES CLIPPERS,101,MEMPHIS GRIZZLIES,81,False
2013-12-06 02:30:00+00:00,MIAMI HEAT,87,CHICAGO BULLS,107,True
2013-12-07 00:00:00+00:00,PHILADELPHIA 76ERS,88,CHARLOTTE BOBCATS,105,True
